type,year,gender,person,host_institute,phd_institute
Hubble,2014,m,Andrew Skemer,University of Arizona - 2011,University of Arizona
Hubble,2014,m,Sjoert Van Velzen,Radboud University Nijmegen - 2014,Johns Hopkins University
Hubble,2014,m,Guangtun Zhu,New York University - 2011,Johns Hopkins University
Hubble,2013,f,Rachel Bezanson,Yale University - 2013,University of Arizona
Hubble,2013,f,Francesca DeMeo,Observatoire de Paris - 2010,Harvard College Observatory
Hubble,2013,m,Ruobing Dong,Princeton University - 2013,Lawrence Berkeley National Laboratory
Hubble,2013,f,Jacqueline Faherty,University of New York Stony Brook - 2010,Carnegie Institution of Washington
Hubble,2013,m,Renyu Hu,Massachusetts Institute of Technology - 2013,Jet Propulsion Laboratory
Hubble,2013,m,Andreas Kuepper,University of Bonn - 2011,Columbia University
Hubble,2013,f,Emily Levesque,University of Hawaii - 2010,University of Colorado Boulder
Hubble,2013,m,Adam Miller,University of California Berkeley - 2013,Jet Propulsion Laboratory
Hubble,2013,m,Philip Muirhead,Cornell University - 2011,Boston University
Hubble,2013,m,Ondrej Pejcha,The Ohio State University - 2013,Princeton University
Hubble,2013,m,Joseph Richards,Carnegie Mellon University - 2010,Lawrence Berkeley National Laboratory
Hubble,2013,m,Pier-Emmanuel Tremblay,University of Montreal - 2011,Space Telescope Science Institute
Hubble,2013,m,Jonathan Trump,University of Arizona - 2010,The Pennsylvania State University
Hubble,2013,m,Daniel Weisz,University of Minnesota - 2010,University of California Santa Cruz
Hubble,2013,f,Jessica Werk,University of Michigan - 2010,University of California Santa Cruz
Hubble,2013,m,Zhaohuan Zhu,University of Michigan - 2011,Princeton University
Hubble,2013,m,Adi Zitrin,Tel Aviv University - 2012,California Institute of Technology
Hubble,2012,m,Xuening Bai,Princeton University - 2012,Smithsonian Astrophysical Observatory
Hubble,2012,f,Alis Deason,University of Cambridge - 2012,University of California Santa Cruz
Hubble,2012,f,Jennifer Donley,University of Arizona - 2009,Los Alamos National Laboratory
Hubble,2012,m,Robert Feldmann,Eidgenossiche Technische Hochschule Zurich - 2010,University of California Berkeley
Hubble,2012,f,Michele Fumagalli,University of California Santa Cruz - 2012,Observatories of the Carnegie Institute of Washington
Hubble,2012,f,Kaitlin Kratter,University of Toronto - 2010,University of Colorado
Hubble,2012,f,Xin Liu,Princeton University - 2010,University of California Los Angeles
Hubble,2012,m,Michael McDonald,University of Maryland - 2011,Massachusetts Institute of Technology
Hubble,2012,m,Matthew McQuinn,Harvard University - 2009,University of California Berkeley
Hubble,2012,m,Kohta Murase,Kyoto University Japan - 2010,Princeton Institute for Advanced Study
Hubble,2012,f,Stella Offner,University of California Berkeley - 2009,Yale University
Hubble,2012,m,Steven Rodney,University of Hawaii - 2010,The Johns Hopkins University
Hubble,2012,f,Leslie Rogers,Massachusetts Institute of Technology - 2012,California Institute of Technology
Hubble,2012,m,Yue Shen,Princeton University - 2009,Observatories of the Carnegie Institute of Washington
Hubble,2012,m,James Steiner,Harvard University - 2012,Smithsonian Astrophysical Observatory
Hubble,2012,m,Erik Tollerud,University of California Irvine - 2012,Yale University
Hubble,2012,m,Mark Vogelsberger,MPI/LMU Germany - 2010,Harvard College Observatories
Hubble,2011,f,Gurtina Besla,Harvard University - 2011,Columbia University
Hubble,2011,m,Jo Bovy,New York University - 2011,Princeton Institute for Advanced Study
Hubble,2011,m,Sean Couch,University of Texas Austin 2010,University of Chicago
Hubble,2011,f,Nathalie Degenaar,Amsterdam NL 2010,University of Michigan
Hubble,2011,m,Steven Finkelstein,Arizona State - 2008,University of Texas Austin
Hubble,2011,m,Evehenii Gaburov,Amsterdam NL 2008,Northwestern University
Hubble,2011,m,Markus Janson,MPI-DE 2008,Princeton University
Hubble,2011,m,Linhua Jiang,University of Arizona - 2008,Arizona State University
Hubble,2011,f,Jeyhan Kartaltepe,University of Hawaii 2009,National Optical Astronomy Observatory _ Tucson
Hubble,2011,f,Mansi Kasliwal,California Institute of Technology - 2011,Carnegie
Hubble,2011,m,Christiaan Ormel,Groningen NL 2008,University of California Berkeley
Hubble,2011,m,Joshua Peek,UCS,Columbia University
Hubble,2011,m,Daniel Perley,University of California Berkeley - 2011,California Institute of Technology
Hubble,2011,m,Ralph Schoenrich,NPI-DE 2011,The Ohio State University
Hubble,2011,m,Roman Shcherbakov,Harvard University - 2011,University of Maryland
Hubble,2011,m,Daniel Stark,California Institute of Technology - 2008,University of Arizona
Hubble,2011,m,John Tobin,University of Michigan 2011,National Radio Astronomy Observatory
Hubble,2010,m,Joshua Carter,Massachusetts Institute of Technology - 2009,Smithsonian Astrophysical Observatory
Hubble,2010,f,Caitlin Casey,University of Cambridge - 2010,University of Hawaii Institute for Astronomy
Hubble,2010,m,Michael Cooper,University of California Berkeley - 2007,University of California Irvine
Hubble,2010,f,Selma de Mink,Utrecht University - 2010,Space Telescope Science Institute
Hubble,2010,m,Trent Dupuy,University of Hawaii - 2010,Smithsonian Astrophysical Observatory
Hubble,2010,m,Daniel Fabrycky,Princeton University - 2007,University of California Santa Cruz
Hubble,2010,f,Karoline Gilbert,University of California Santa Cruz - 2008,University of Washington
Hubble,2010,m,Henry Hsieh,University of Hawaii - 2007,University of Hawaii Institute for Astronomy
Hubble,2010,m,Ryan Keisler,University of Chicago - 2010,University of Chicago
Hubble,2010,m,Dusan Keres,University of Massachusetts - 2007,University of California Berkeley
Hubble,2010,f,Maryam Modjaz,Harvard University - 2007,Columbia University
Hubble,2010,m,Pascal Oesch,Eidgenossiche Technische Hochschule Zurich 2010,University of California Santa Cruz
Hubble,2010,m,Ryan Quadri,Yale University - 2007,Observatories of the Carnegie Institute of Washington
Hubble,2010,f,Beth Reid,Princeton University - 2008,Lawrence Berkeley National Laboratory
Hubble,2010,f,Hilke Schlichting,California Institute of Technology - 2009,University of California Los Angeles
Hubble,2010,f,Debora Sijacki,MPA and LMU - 2007,Harvard College Observatory
Hubble,2010,m,Matthew Walker,University of Michigan 2007,Harvard College Observatory
Hubble,2009,m,Stephen Mark Ammons,University of California Santa Cruz 2009,University of Arizona
Hubble,2009,f,Misty Bentz,The Ohio State University - 2007,University of California Irvine
Hubble,2009,f,Tabetha Boyajian,Georgia State University - 2009,Georgia State University
Hubble,2009,m,Kevin Covey,University of Washington 2006,Cornell University
Hubble,2009,m,Kristian Finlator,University of Arizona 2009,University of California Santa Barbara
Hubble,2009,m,Mario Juric,Princeton University - 2007,Harvard University
Hubble,2009,m,Evan Kirby,University of California Santa Cruz 2009,California Institute of Technology
Hubble,2009,m,Adam Kraus,California Institute of Technology - 2009,University of Hawaii
Hubble,2009,m,Adam Leroy,University of California Berkeley - 2006,National Radio Astronomy Observatory
Hubble,2009,m,Daniel Marrone,Harvard University - 2006,University of Chicago
Hubble,2009,f,Karin Oberg,Leiden 2009,Smithsonian Astrophysical Observatory
Hubble,2009,,Jose Prieto,The Ohio State University - 2009,Observatories of the Carnegie Institute of Washington Pasadena
Hubble,2009,,Brant Robertson,Harvard University - 2006,California Institute of Technology
Hubble,2009,f,Lisa Winter,University of Maryland 2008,University of Colorado Boulder
Hubble,2009,,John Wise,Stanford University - 2007,Princeton University
Hubble,2009,f,Shelley Wright,University of California Los Angeles 2008,University of California Berkeley
