type,year,gender,person,host_institute,phd_institute
Hubble,1990,m,Mario Mateo,University of Washington,Observatories of the Carnegie Institute of Washington
Hubble,1990,m,Charles Steidel,California Institute of Technology,University of California Berkeley
Hubble,1990,f,Rene Walterbos,Leiden Netherlands,New Mexico State University
Hubble,1990,m,Qinde Wang,Columbia University,University of Colorado
Hubble,1990,f,Janet Wood,University of Cambridge,University of Texas
Hubble,1990,m,Brian Yanny,University of Chicago,Princeton Institute for Advanced Study
Einstein,2015,f,Anna Barnacka,,Harvard University
Einstein,2015,m,Simeon Bird,,Johns Hopkins University
Einstein,2015,f,Rebecca Canning,,Stanford University
Einstein,2015,m,Liang Dai,,Institute for Advanced Study Princeton
Einstein,2015,m,Shea Garrison-Kimmel,,California Institute of Technology
Einstein,2015,m,Massimo Gaspari,,Princeton University
Einstein,2015,m,Daniel Gruen,,Stanford Linear Accelerator Center
Einstein,2015,m,Maxwell Moe,,University of Arizona
Einstein,2015,m,Philipp Moesta,,University of California Berkeley
Einstein,2015,f,Anna Pancoast,,Smithsonian Astrophysical Observatory
Einstein,2015,m,Kyle Parfrey,,Lawrence Berkeley National Laboratory
Einstein,2015,f,Brooke Simmons,,University of California San Diego
Einstein,2015,m,James Steiner,,Massachusetts Institute of Technology
Einstein,2015,m,Nicholas Stone,,Columbia University
Einstein,2014,m,Sagi Ben-Ami,,Smithsonian Astrophysical Observatory
Einstein,2014,f,Blakesley Burkhart,,Harvard University
Einstein,2014,m,Justin Ellis,,Jet Propulsion Laboratory
Einstein,2014,f,Wen-fai Fong,,University of Arizona
Einstein,2014,m,Francois Foucart,,Lawrence Berkeley National Laboratory
Einstein,2014,m,Kazumi Kashiyama,,University of California at Berkeley
Einstein,2014,m,Ji-hoon Kim,,SLAC National Accelerator Laboratory
Einstein,2014,m,Ashley King,,Stanford University
Einstein,2014,m,Aleksander Sadowski,,Massachusetts Institute of Technology
Einstein,2014,m,Johan Samsing,,Princeton University
Einstein,2014,m,Grant Tremblay,,Yale University
Einstein,2014,f,Hsiang-Yi Karen Yang,,University of Maryland College Park
Einstein,2013,m,Claude-Andre Facher-Giguère,,University of California at Berkeley
Einstein,2013,m,James Guillochon,,Harvard University
Einstein,2013,m,Rutger van Haasteren,,Jet Propulsion Laboratory
Einstein,2013,m,Yan-Fei Jiang,,Smithsonian Astrophysical Observatory
Einstein,2013,m,Tim Linden,,University of Chicago
Einstein,2013,m,Luke Roberts,,Caltech
Einstein,2013,m,Mario Manuel,,University of Michigan
Einstein,2013,f,Selma de Mink,,Carnegie Observatories
Einstein,2013,m,Krzysztof Nalewajko,,University of Colorado Boulder
Einstein,2013,f,Maria Petropoulou,,Purdue University
Einstein,2013,m,Alexander Tchekhovskoy,,Lawrence Berkeley National Laboratory
Einstein,2012,f,Laura Blecha,,University of Maryland College Park
Einstein,2012,m,Julie Hlavacek-Larrondo,,Stanford University
Einstein,2012,f,Ann-Marie Madigan,,University of California at Berkeley
Einstein,2012,f,Smadar Naoz,,Harvard University
Einstein,2012,m,Joey Neilsen,,Boston University
Einstein,2012,m,Chris Nixon,,University of Colorado Boulder
Einstein,2012,m,Christian Reisswig,,California Institute of Technology
Einstein,2012,m,Fabian Schmidt,,Princeton University
Einstein,2012,m,Leo Stein,,Cornell University
Einstein,2012,m,Meng Su,,Massachusetts Institute of Technology
Einstein,2012,m,Reinout van Weeren,,Smithsonian Astrophysical Observatory
Einstein,2012,m,Justin Vandenbroucke,,SLAC National Accelerator Laboratory
Einstein,2011,m,Akos Bogdan,,Smithsonian Astrophysical Observatory
Einstein,2011,m,Sam Gralla,,University of Maryland College Park
Einstein,2011,m,Philip Hopkins,,University of California at Berkeley
Einstein,2011,m,Matthew Kunz,,Princeton University
Einstein,2011,f,Laura Lopez,,Massachusetts Institute of Technology
Einstein,2011,f,Amy Reines,,National Radio Astronomy Observatory
Einstein,2011,m,Rubens Reis,,University of Michigan
Einstein,2011,m,Ken Shen,,Lawrence Berkeley National Laboratory
Einstein,2011,f,Jennifer Siegal-Gaskins,,California Institute of Technology
Einstein,2011,m,Lorenzo Sironi,,Harvard University
Einstein,2010,f,Simona Giacintucci,,University of Maryland
Einstein,2010,m,Boaz Katz,,Institute for Advanced Studies
Einstein,2010,m,Matthew Kerr,,Stanford University
Einstein,2010,m,Matthew Kistler,,Lawrence Berkeley Laboratory
Einstein,2010,f,Emily Levesque,,University of Colorado
Einstein,2010,f,Xin Liu,,Harvard University
Einstein,2010,m,Tony Mroczkowski,,Jet Propulsion Laboratory
Einstein,2010,m,Ryan O'Leary,,University of California at Berkeley
Einstein,2010,m,Dovi Poznanski,,Lawrence Berkeley National Laboratory
Einstein,2010,m,Nicolas Yunes,,Massachusetts Institute of Technology
Einstein,2009,f,Tamara Bogdanovic,,University of Maryland
Einstein,2009,m,Rodgrigo Fernandez,,Institute for Advanced Study
Einstein,2009,m,Bence Kocsis,,Harvard University
Einstein,2009,m,Bret Lehmer,,Johns Hopkins University
Einstein,2009,m,Matthew McQuinn,,University of California at Berkeley
Einstein,2009,m,Brian Metzger,,Princeton University
Einstein,2009,m,Eran Ofek,,Caltech
Einstein,2009,m,Eduardo Rozo,,University of Chicago
Einstein,2009,m,Kevin Schawinski,,Yale University
Einstein,2009,f,Aurora Simionescu,,Stanford University
Einstein,2008,m,Edward Cackett,,University of Michigan
Einstein,2008,f,Orly Gnat,,Caltech
Einstein,2008,m,Prateek Sharma,,University of California at Berkeley
Einstein,2008,m,Ezequiel Treister,,University of Hawaii
Einstein,2008,m,Norbert Werner,,Stanford University
Einstein,2007,m,John Fregeau,,Northwestern University (yr 1)
Einstein,2007,m,Jonathan McKinney,,Stanford University
Einstein,2007,m,Ian Parrish,,University of California at Berkeley
Einstein,2007,m,Jesper Rasmussen,,Carnegie Observatories
Einstein,2007,m,Jeremy Schnittman,,Johns Hopkins University
Einstein,2006,m,Carlos Badenes,,Rutgers University
Einstein,2006,m,Shane Davis,,Institute for Advanced Study
Einstein,2006,m,Jifeng Liu,,Center for Astrophysics
Einstein,2006,f,Elena Rasia,,University of Michigan
Einstein,2006,m,Masahiro Tsujimoto,,Pennsylvania State University
Einstein,2005,f,Elena Gallo,,University of California Santa Barbara
Einstein,2005,m,Jon Miller,,Smithsonian Astrophysical Observatory
Einstein,2005,m,Jan-Uwe Ness,,Arizona State University
Einstein,2005,f,Elena Rossi,,Colorado State University
Einstein,2005,m,David Sand,,University of Arizona
Einstein,2004,m,Franz Bauer,,Columbia University
Einstein,2004,m,Doron Chelouche,,Institute for Advanced Study
Einstein,2004,m,Benjamin Maughan,,Smithsonian Astrophysical Observatory
Einstein,2004,m,David Pooley,,University of California at Berkeley
Einstein,2004,m,Weiquin Zhang,,Stanford University
Einstein,2003,m,Taotao Fang,,University of California at Berkeley
Einstein,2003,m,Sebastian Heinz,,Massachusetts Institute of Technology
Einstein,2003,m,Peter Jonker,,Smithsonian Astrophysical Observatory
Einstein,2003,m,Enrico Ramirez-Ruiz,,Institute for Advanced Study
Einstein,2003,m,Mateusz Ruszkowski,,Colorado State University
Einstein,2002,f,Ann Hornschemeier,,Johns Hopkins University
Einstein,2002,f,Julia Lee,,Massachusetts Institute of Technology
Einstein,2002,m,Eric Pfahl,,Harvard University
Einstein,2002,m,Anatoly Spitkovsky,,University of California at Berkeley
Einstein,2002,f,Licia Verde,,Princeton University
Einstein,2001,f,Elizabeth Blanton,,University of Virginia
Einstein,2001,f,Li-Xin Li,,Harvard University
Einstein,2001,m,Andisheh Mahdavi,,University of Hawaii
Einstein,2001,m,Erik Reese,,University of California at Berkeley
Einstein,2001,m,Masao Sako,,Caltech
Einstein,2000,m,Eric Agol,,Caltech
Einstein,2000,m,Ming Feng Gu,,Massachusetts Institute of Technology
Einstein,2000,m,Jeremy Heyl,,Center for Astrophysics
Einstein,2000,m,David Strickland,,Johns Hopkins University
Einstein,2000,m,Jacco Vink,,Columbia University
Einstein,1999,m,Markus Boettcher,,Rice University
Einstein,1999,m,Jimmy Irwin,,University of Michigan
Einstein,1999,f,Kristen Menou,,Princeton University
Einstein,1999,m,Eliot Quataert,,Institute for Advanced Study
Einstein,1999,m,Rudy Wijnands,,Massachusetts Institute of Technology
Einstein,1999,f,Amy Barger,,Fellow at Large
Einstein,1998,m,David Buote,,University of California Santa Cruz
Einstein,1998,f,Tiziana Di Matteo,,Harvard University
Einstein,1998,f,Ann Esin,,CalTech
Einstein,1998,m,Joseph Mohr,,Chicago University
Einstein,1998,m,Edward Moran,,University of California at Berkeley
Sagan,2015,f,Courtney Dressing,California Institute of Technology,
Sagan,2015,m,Daniel Foreman-Mackey,University of Washington,
Sagan,2015,m,Jonathan Gagne,Carnegie Institute for Science,
Sagan,2015,m,Paul Robertson,Pennsylvania State University,
Sagan,2015,m,Tyler Robinson,"University of California, Santa Cruz",
Sagan,2015,f,Leslie Rogers,UC Berkeley,
Sagan,2014,f,Jayne Birkby,Harvard College Observatory,
Sagan,2014,m,Timothy Brandt,Institute for Advanced Study,
Sagan,2014,m,Ian Crossfield,"Lunar and Planetary Science Laboratory, University of Arizona",
Sagan,2014,f,Vivien Parmentier,"University of California, Santa Cruz",
Sagan,2014,m,Matthew Penny,Ohio State University,
Sagan,2014,m,Roberto Sanchis Ojeda,UC Berkeley,
Sagan,2014,m,Kevin Stevenson,University of Chicago,
Sagan,2013,m,Jared Males,University of Arizona,
Sagan,2013,f,Katja Poppenhaeger,Harvard-Smithsonian Center for Astrophysics,
Sagan,2013,m,Avi Shporer,Jet Propulsion Laboratory,
Sagan,2013,m,Jacob Simon,Southwest Research Institute,
Sagan,2013,f,Jennifer Yee,California Institute of Technology,
Sagan,2012,f,Sarah Ballard,University of Washington,
Sagan,2012,m,Jean-Michel Desert,California Institute of Technology,
Sagan,2012,f,Catherine Espaillat,Harvard-Smithsonian Center for Astrophysics,
Sagan,2012,m,Nikole Lewis,Massachusetts Institute of Technology,
Sagan,2012,f,Rebecca Martin,University of Colorado,
Sagan,2012,m,Christian Schwab,Yale University,
Sagan,2011,m,Bryce Croll,Massachusetts Institute of Technology,
Sagan,2011,m,David Kipping,Harvard-Smithsonian Center for Astrophysics,
Sagan,2011,m,Wladimir Lyra,Jet Propulsion Laboratory,
Sagan,2011,f,Katie Morzinski,University of Arizona,
Sagan,2011,m,Sloane Wiktorowicz,"University of California, Santa Cruz",
Sagan,2009,m,Daniel Fabrycky,Harvard-Smithsonian Center for Astrophysics,
Sagan,2009,m,Michael Fitzgerald,Lawrence Livermore National Laboratory,
Sagan,2009,f,Andrea Isella,California Institute of Technology,
Sagan,2009,f,Hannah Jang-Condell,Goddard Space Flight Center,
Sagan,2007,m,Daniel Fabrycky,Harvard-Smithsonian Center for Astrophysics,
Sagan,2007,m,Michael Fitzgerald,Lawrence Livermore National Laboratory,
Sagan,2007,f,Andrea Isella,California Institute of Technology,
Sagan,2007,f,Hannah Jang-Condell,Goddard Space Flight Center,
Sagan,2005,m,Ruslan Belikov,Princeton University,
Sagan,2005,m,Michael Ireland,California Institute of Technology,
Sagan,2005,f,Amaya Moro-Martin,Princeton University,
Sagan,2004,f,Jennifer Patience,California Institute of Technology,
Sagan,2004,m,Sean Brittain,National Optical Astronomical Observatories,
Sagan,2004,m,Christopher Tycner,United States Naval Observatory,
Sagan,2003,m,Jason Aufdenberg,National Optical Astronomical Observatories,
Sagan,2003,m,Pascal Borde,Harvard-Smithsonian Center for Astrophysics,
Sagan,2003,m,Andrew Digby,American Museum of Natural History,
Sagan,2003,m,Ettore Pedretti,University of Michigan,
Sagan,2003,m,Remi Soummer,Space Telescope Science Institute,
Sagan,2002,m,Brian Kern,California Institute of Technology,
Sagan,2002,m,Jajadev Rajagopal,University of Maryland,
Sagan,2002,f,Neda Safizadeh,California Institute of Technology,
Sagan,2001,m,Philip Hinz,"Steward Observatory, University of Arizona",
Sagan,2001,m,Sam Ragland,Harvard-Smithsonian Center for Astrophysics,
Sagan,2000,m,Jean-Philippe Berger,Harvard-Smithsonian Center for Astrophysics,
Sagan,2000,m,Marc Kuchner,Harvard-Smithsonian Center for Astrophysics,
Sagan,2000,m,Maciej Konacki,California Institute of Technology,
Hubble,2016,m,Brendan Bowler,UT Austin,
Hubble,2016,f,Anne Medling,Caltech,
Hubble,2016,m,Marcel Pawlowski,Irvine,
Hubble,2016,m,Josiah Schwab,UCSC,
Hubble,2016,f,Maria Drout,Carnegie,
Hubble,2016,m,Zheng Cai,UCSC,
Hubble,2016,m,Paul Torrey,MIT,
Hubble,2016,m,Dan Scolnic,UChicago,
Hubble,2016,m,Sean Johnson,Princeton,
Sagan,2016,m,Jeffrey Fung,Berkeley,
Sagan,2016,m,Sam Halverson,UPenn,
Sagan,2016,f,Caroline Morley,Harvard,
Sagan,2016,m,Ben Montet,Chicago,
Sagan,2016,f,Kate Follette,,
Einstein,2016,m,Morgan MacLeod,,
Einstein,2016,m,Daniel D'Orazio,Harvard,
Einstein,2016,m,Eric Coughlin,,
Einstein,2016,m,Michael Johnson,,
Einstein,2016,m,Dheeraj Pasham,,
Einstein,2016,m,Daniel Siegel,,
Einstein,2016,m,Dan Wilkins,,
Einstein,2016,m,Boris Leistedt,,
Einstein,2016,f,Maria Drout,,
Einstein,2016,f,Lia Corrales,,
Einstein,2016,f,Anne Medling,,
